제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"심판장: 괴물이 만들어지는 곳 [대학로]","2026.09.10","2026.09.13","더 씨어터 (더 씨어터)","연극","강동오, 고보은, 김은비, 김형빈, 박소원, 백현석, 유지선 등","방현식, 유지선, 신강희 등","만 13세 이상","1시간 20분","극단 연어둥지","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298718_260818_143719.jpg","PF298718"
"산울림 고전극장, 쿠쉬나메: 끝나지 않는 이야기","2026.08.27","2026.09.13","산울림소극장 (산울림소극장)","연극","","안라준, 서정완","만 13세 이상","1시간 30분","극공작소 마방진","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298717_260818_143525.jpg","PF298717"
"노이즈 (NoEase) : 잡음으로 살아내기","2026.09.03","2026.09.06","삼일로창고극장 (삼일로창고극장)","연극","최사랑, 현해주","홍선호, 김예원, 김서연 등","만 7세 이상","1시간 10분","그나그 프로젝트(GNAG Project)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298711_260818_142359.png","PF298711"
"몽상가들 연극 페스티벌, 순환: 비우고 채우며 흐르다, 극단 이단아의 잊지 마, 숨비!","2026.08.25","2026.08.26","소극장 혜화당 (구. 까망소극장) (소극장 혜화당 (구. 까망소극장) )","연극","김도희, 이도경, 김민정, 안연우, 황소영, 이홍림","박윤성, 한애정, 송연조 등","전체 관람가","1시간 25분","극단 이단아, 몽상가들","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298710_260818_142214.png","PF298710"
"제29회 서울프린지페스티벌, 그린필 (Greenpill)","2026.08.23","2026.08.23","서보아트스페이스(서보미술문화공간)[서울] (보이드 홀)","연극","지우, 김지연, 문연서, 정희원, 김난희","이원빈, 조충만, 최인수 등","전체 관람가","1시간","창작집단 난장","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298693_260818_135125.png","PF298693"
"제29회 서울 프린지 페스티벌, 상철이 엄마","2026.08.15","2026.08.15","서보아트스페이스(서보미술문화공간)[서울] (보이드 홀)","연극","한재현, 정진교, 김난희, 김준성, 성건우, 서다예","김준성, 서다예, 이예림 등","만 15세 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298684_260818_133310.jpg","PF298684"
"고아 뮤즈들","2026.08.28","2026.08.29","뜻밖의 극장(구. 해우소소극장) (뜻밖의 극장(구. 해우소소극장))","연극","이서현, 이준서, 이희원, 정수현","하서진, 유원영","만 13세 이상","1시간 30분","극단 작은곰","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298668_260818_130030.png","PF298668"
"낭독쇼케이스, Wharton","2026.09.15","2026.09.17","극장 PLOT (극장 PLOT)","연극","김영미, 문채윤, 박지민, 우서연, 장민준, 조이재, 조현재 등","김교린, 오현승, 서민경 등","만 12세 이상","1시간 20분","(주)극단 시차, (주)극단 시차","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298654_260818_122024.png","PF298654"
"제29회 서울 프린지 페스티벌, 종말의 이상","2026.08.18","2026.08.19","서보아트스페이스(서보미술문화공간)[서울] (SOUNDS)","연극","박승재","채수본, 이룰루, 김나경 등","만 15세 이상","50분","창작집단 환타지 (幻他至)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298653_260818_121415.png","PF298653"
"나는 코다입니다 [수원]","2026.09.12","2026.09.12","경기아트센터(구. 경기도문화의전당) (소극장)","연극","장호중, 정나라, 박정섭, 이지혜","","만 7세 이상","1시간 25분","(재)경기아트센터","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298652_260818_121058.gif","PF298652"
"꽃잠: 별별수다 [춘천]","2026.09.04","2026.09.05","춘천인형극장 (대극장)","연극","","","만 8세 이상","45분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298651_260818_120604.png","PF298651"
"진영 깡차이 [김해]","2026.09.11","2026.09.12","김해서부문화센터 (하늬홀)","연극","박규한, 조정우, 백상희, 권혁진, 이정유, 이경민, 정지수 등","황정봉, 고재경, 이정유 등","만 7세 이상","1시간 20분","(재)김해문화재단(김해서부문화센터), 극단 이루마","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298644_260818_112603.jpg","PF298644"
"47세 김씨가 자가를 사는 법 [의정부]","2026.09.10","2026.09.12","의정부아트캠프 (CAMP BLACK (캠프블랙))","연극","유독현, 김병건, 이상숙, 이현직, 홍수민, 구태민, 이경원 등","조성현, 권나영, 김민성 등","만 11세 이상","1시간 15분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298612_260818_103232.gif","PF298612"
"서울 어텀 페스타, 덜미쇼: 그건 문제가 아니야","2026.10.23","2026.10.24","동네극장 (동네극장)","연극","","","전체 관람가","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298610_260818_102711.jpg","PF298610"
"미운 아기 오리 [대구]","2026.09.02","2026.09.27","대백프라자 (레오문화홀)","연극","","","전체 관람가","35분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298608_260818_102457.jpg","PF298608"
"파랑새 [부산]","2026.09.12","2026.09.13","낙동아트센터 (앙상블극장)","연극","양조아, 양종욱","박지혜, 김언, 김형연 등","만 13세 이상","1시간 30분","양손프로젝트","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298605_260814_175504.jpg","PF298605"
"잽, 잽-투! [대학로]","2026.09.10","2026.09.20","연극실험실 혜화동1번지 (연극실험실 혜화동1번지)","연극","정대진, 김유리, 권창민, 최정화, 박창준, 박태환, 박재한","김서휘, 조경훈, 배준서 등","만 7세 이상","1시간 30분","극단 문지방, 극단 문지방","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298599_260814_165930.gif","PF298599"
"살아있는 이중생 각하 [대학로]","2026.08.26","2026.08.29","더 씨어터 (더 씨어터)","연극","윤혜미, 이동석, 이근우, 오정렬, 채민혁, 이재성, 허예진 등","차성욱, 김두섭, 김승규 등","만 5세 이상","1시간 30분","극단 빈도, 극단 빈도","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298595_260814_162739.gif","PF298595"
"산울림 고전극장, 헤라 아프로디테 아르테미스: 리부트","2026.09.16","2026.10.04","산울림소극장 (산울림소극장)","연극","한송희, 이주희, 김희연, 이강우, 김한빈","한송희, 이기쁨","만 16세 이상","1시간 40분","소극장 산울림(극단 산울림), 창작집단LAS","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298555_260814_135855.gif","PF298555"
"너머","2026.08.25","2026.08.25","DGT 아트센터 (DGT 아트센터)","연극","문태연","문태연","만 11세 이상","1시간 20분","독고탁컴퍼니","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298553_260814_135259.gif","PF298553"
"여보 나도 할 말 있어 [평창]","2026.09.08","2026.09.08","평창문화예술회관 (대공연장)","연극","이홍렬, 우상민, 권기선, 김태향, 이윤미, 허윤","김영순","만 15세 이상","1시간 40분","극단 나는 세상, 도시문화예술","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298539_260814_130804.gif","PF298539"
"시련","2026.09.12","2026.09.13","창작플랫폼 경험과 상상 (창작플랫폼 경험과 상상)","연극","김정욱, 노현지, 박신용, 박지민, 배유진, 손하영, 윤수황 등","구본혁, 김한울, 김성현 등","만 11세 이상","1시간 20분","극단 인연(이년), 극단 인연(이년)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298530_260814_121249.jpg","PF298530"
"아티스트 IN 과천, 부릉부릉 봄봄","2026.08.14","2026.08.14","과천시민회관 (소극장)","연극","김현호, 채지영, 강민석, 남수현","김성배, 신동일, 김혜진 등","만 13세 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298525_260814_113409.jpg","PF298525"
"의자 고치는 여인 [서울 광진]","2026.09.18","2026.09.20","나루아트센터 (대공연장)","연극","김준삼, 오주원, 진여준, 신서진, 조정민, 권설아, 왕수희 등","송현옥, 이영찬, 정진철 등","만 14세 이상","1시간 40분","옐로밤","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298524_260814_112929.gif","PF298524"
"우주 (Would U) [의정부]","2026.08.20","2026.08.22","의정부아트캠프 (CAMP BLACK (캠프블랙))","연극","이다울, 이동호, 이빛","전노민, 이예솔, 이다울 등","전체 관람가","1시간 10분","다름(DARM)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298521_260814_112357.jpg","PF298521"
"윤봉길은 왜? 물통폭탄을 던졌을까? [예산]","2026.09.01","2026.09.02","예산문예회관 (예산문예회관)","연극","","","만 11세 이상","1시간 20분","극단 예촌","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298518_260814_111053.jpg","PF298518"
"정의의 사람들 [안산]","2026.08.22","2026.08.23","보노마루 (보노마루)","연극","우영희, 전이수, 이기훈, 박선영, 임해봄, 박성현, 김민채","오승욱, 김민채, 김민수 등","만 11세 이상","","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298516_260814_110319.jpg","PF298516"
"월화수목금토일 [수원]","2026.09.05","2026.09.06","경기상상캠퍼스 (공간1986 멀티벙커)","연극","이지형, 문선하, 문소율, 박범수, 이철성","이철성, 이지형, 하소정 등","만 12세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298514_260814_105909.png","PF298514"
"구미아시아연극제, 발자국/발자취","2026.09.10","2026.09.11","소극장 공터 다 (소극장 공터 다)","연극","마츠이 마사토, 카즈요시, 카와모토 마리나, 히라바야시 모모코, 에라 이쿠토, 카와이 노조미, 이마즈 토모야","카노메 유키, 마츠이 구미, 에라 이쿠토 등","만 7세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298503_260814_102613.jpg","PF298503"
"유리동물원 [서울 서초]","2026.10.17","2026.11.22","예술의전당 [서울] (CJ 토월극장)","연극","김성령, 최정원, 정운선, 정새별, 임세미, 장승조, 권세인 등","신유정, 황정원, 김진숙 등","만 7세 이상","2시간","예술의전당, 예술의전당","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298502_260814_102324.gif","PF298502"
"나잇나잇 (NIGHT NIGHT) [대학로 (앵콜) ]","2026.09.02","2026.09.06","소극장 플랫폼74 (소극장 플랫폼74)","연극","김다다, 김세영, 김철영, 노현수, 백윤서, 서완실, 손종복 등","우여진, 한승훈, 예민현 등","만 13세 이상","1시간 50분","극단 휴즈, 극단 휴즈","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298493_260813_161841.gif","PF298493"
"종로 가족공연축제, 일장일딴 컬렉션","2026.10.16","2026.10.18","종로아이들극장 (종로아이들극장)","연극","이대열","이대열, 이원흥 등","36개월 이상","55분","(재)종로문화재단, 일장일딴컴퍼니","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298492_260813_161013.gif","PF298492"
"솔리튜드 월 (SOLITUDE WALL) [부산]","2026.08.26","2026.08.29","백양문화예술회관 (공연장)","연극","강승환, 김경훈, 김기주, 박우일, 장시현, 장재영, 정다운","김선권, 김수진, 최현우 등","만 7세 이상","1시간","(재) 부산진문화재단, (재) 부산진문화재단(백양문화예술회관)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298481_260813_154327.png","PF298481"
"김시라의 품바: Original [고령]","2026.11.15","2026.11.15","경북고령대가야문화누리 (구. 대가야국악당) (대공연장 (우륵홀) )","연극","오정석, 이시찬","최민선, 김시라, 최성봉 등","만 7세 이상","1시간 40분","(주)좋은콘서트, 굿초이스","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298474_260813_151514.jpg","PF298474"
"종로 가족공연축제, 저승할망","2026.10.23","2026.10.25","종로아이들극장 (종로아이들극장)","연극","김채원, 은빛나래, 서율, 김민수, 박두희, 윤민형, 이선호 등","최은정, 정진우, 한승훈 등","36개월 이상","1시간 5분","(재)종로문화재단, 이야기기획단 시작과 끝","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298470_260813_151004.gif","PF298470"
"드립 라이프 [인천 중구]","2026.08.22","2026.08.23","인천여관1965 (인천여관1965)","연극","장준혁, 홍지혜","","만 15세 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298467_260813_150306.jpg","PF298467"
"그립고 아름다운 내 별나라로 갈 수 있… 을걸?!","2026.09.12","2026.09.13","극장 PLOT (극장 PLOT)","연극","김윤오, 박주아, 신소원","김다은, 박은지, 이형욱 등","만 14세 이상","1시간 20분","극단 주의(theatralism)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298464_260813_145555.jpg","PF298464"
"너는 죽어야 완성돼","2026.09.09","2026.09.13","소극장 공유 (소극장 공유)","연극","강성욱, 공찬영, 김소현, 김해리, 김호창, 손슬기, 오강우 등","이민수, 박하은, 김보근 등","만 15세 이상","1시간 20분","극단 백의","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298449_260813_141938.gif","PF298449"
"사랑을 이루어 드립니다 [부산]","2026.10.01","2026.12.27","가온아트홀 [부산] (1관)","연극","","","만 15세 이상","1시간 20분","극단 해프닝","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298445_260813_141357.jpg","PF298445"
"종로 가족공연축제, 꼬마장승 가출기","2026.10.30","2026.11.01","종로아이들극장 (종로아이들극장)","연극","김지웅, 최태익, 신은경, 양우진","이새로미, 김지웅, 윤정열 등","36개월 이상","50분","(재)종로문화재단, 극단 마루한","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298438_260813_140040.gif","PF298438"
"멈춰라 맥베스","2026.08.28","2026.08.28","서울문화예술교육센터 강북 (예술당솔샘(2F))","연극","김나은, 박가령, 장래산, 한수경","고태현, 공하민 등","만 13세 이상","1시간 15분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298436_260813_135003.png","PF298436"
"유츄프라카치아","2026.10.02","2026.10.18","비유아트홀(구. 효천아트센터 그라운드씬) (비유아트홀(구. 효천아트센터 그라운드씬))","연극","신경혜, 김혜강, 김경란, 권슬아, 손수아, 강림, 김민지 등","김혜영, 신경혜, 이미혜 등","만 8세 이상","1시간 50분","극단 비유, 극단 비유","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298435_260813_134741.gif","PF298435"
